Designator,Mid X,Mid Y,Layer,Rotation
C1,30.8,102.55,Top,270
C2,6.99,102.23,Top,90
C3,43.66,94.3,Top,0
C4,54.93,94.14,Top,0
C5,49.21,93.66,Top,180
C6,17.78,93.34,Top,180
C7,16.51,88.58,Top,180
C8,20,88.58,Top,180
C9,48.26,86.68,Top,0
C10,14.29,83.19,Top,270
C11,24.13,80.96,Top,0
C12,26.35,80.01,Top,90
C13,10.48,78.11,Top,90
C14,10.48,74.3,Top,90
C15,26.35,73.5,Top,270
C16,24.13,72.71,Top,180
C17,54.93,67.47,Top,0
C18,49.21,66.99,Top,180
C19,16.83,65.41,Top,90
C20,48.26,60.01,Top,0
C21,16.83,57.79,Top,180
C22,20,57.79,Top,180
C23,13.97,56.83,Top,90
C24,5.4,50.16,Top,270
C25,14.61,50.16,Top,270
C26,7.62,46.04,Top,180
C27,12.38,46.04,Top,0
C28,43.5,40.96,Top,180
C29,54.93,40.8,Top,0
C30,49.21,40.32,Top,180
C31,17.78,40.01,Top,180
C32,16.51,35.24,Top,180
C33,20,35.24,Top,180
C34,48.26,33.34,Top,0
C35,14.29,29.85,Top,270
C36,24.13,27.62,Top,0
C37,26.35,26.67,Top,90
C38,10.48,24.77,Top,90
C39,10.48,20.96,Top,90
C40,26.35,20.16,Top,270
C41,24.13,19.37,Top,180
C42,54.93,14.29,Top,180
C43,49.21,13.65,Top,180
C44,16.83,12.07,Top,90
C45,48.26,6.67,Top,0
C46,16.83,4.45,Top,180
C47,20,4.45,Top,180
C48,13.97,3.49,Top,90
D1,34.77,102.87,Top,270
D2,11.11,102.55,Top,90
IC1,51.12,90.17,Top,270
IC2,18.41,85.09,Top,270
IC4,51.12,63.5,Top,270
IC5,18.41,61.28,Top,270
IC6,7.62,48.58,Top,90
IC7,12.38,48.58,Top,90
IC8,51.12,36.83,Top,270
IC9,18.41,31.75,Top,270
IC11,51.12,10.16,Top,270
IC12,18.41,7.94,Top,270
L1,10.38,99.06,Top,0
L2,26.45,99.06,Top,180
P1,26.67,102.23,Top,90
R1,16.67,95.25,Top,180
R2,19.69,95.25,Top,0
R3,37.47,94.3,Top,180
R6,17.78,91.76,Top,180
R7,46.36,91.76,Top,270
R8,55.25,91.44,Top,270
R9,22.86,89.06,Top,270
R10,55.88,88.27,Top,270
R11,31.75,86.68,Top,90
R12,34.93,86.36,Top,90
R13,45.88,85.88,Top,90
R14,48.26,85.09,Top,180
R15,51.75,84.77,Top,0
R16,6.67,84.14,Top,180
R17,48.26,83.5,Top,0
R18,51.75,83.34,Top,0
R19,11.11,83.19,Top,270
R20,12.7,83.19,Top,270
R21,30.48,83.19,Top,0
R22,34.93,83.19,Top,270
R23,45.88,82.71,Top,270
R24,50.01,81.91,Top,180
R25,12.38,80.33,Top,0
R26,24.13,79.53,Top,180
R27,12.07,78.11,Top,90
R28,13.65,78.11,Top,270
R29,24.13,78.11,Top,0
R30,24.13,75.56,Top,0
R31,12.7,74.93,Top,180
R32,24.13,74.14,Top,180
R33,12.7,73.34,Top,0
R34,37.47,67.63,Top,180
R35,34.93,66.99,Top,90
R38,18.26,65.41,Top,90
R39,19.69,65.41,Top,90
R40,46.36,65.09,Top,270
R41,55.25,64.77,Top,270
R42,34.93,63.82,Top,270
R43,22.86,62.39,Top,270
R44,55.88,61.6,Top,270
R45,31.75,60.01,Top,90
R46,45.88,59.21,Top,90
R47,48.26,58.42,Top,180
R48,51.75,58.1,Top,0
R49,6.67,57.47,Top,180
R50,10.79,56.83,Top,270
R51,12.38,56.83,Top,90
R52,51.75,56.67,Top,0
R53,30.48,56.52,Top,0
R54,45.88,56.04,Top,270
R55,49.05,56.04,Top,90
R56,47.47,56.04,Top,270
R57,8.57,55.88,Top,180
R58,51.43,55.25,Top,180
R59,7.62,51.12,Top,0
R60,12.38,51.12,Top,180
R61,16.67,41.91,Top,180
R62,19.69,41.91,Top,0
R63,37.47,40.96,Top,180
R66,17.78,38.42,Top,180
R67,46.36,38.42,Top,270
R68,55.25,38.1,Top,270
R69,22.86,35.72,Top,270
R70,55.88,34.93,Top,270
R71,31.75,33.34,Top,90
R72,34.93,33.02,Top,90
R73,45.88,32.54,Top,90
R74,48.26,31.75,Top,180
R75,51.75,31.43,Top,0
R76,6.67,30.8,Top,180
R77,51.75,30,Top,0
R78,11.11,29.85,Top,270
R79,12.7,29.85,Top,270
R80,30.48,29.85,Top,0
R81,34.93,29.85,Top,270
R82,47.47,29.37,Top,270
R83,45.88,29.37,Top,270
R84,49.05,29.37,Top,90
R85,51.44,28.57,Top,180
R86,12.38,26.99,Top,0
R87,24.13,26.19,Top,180
R88,12.07,24.77,Top,90
R89,13.65,24.77,Top,270
R90,24.13,24.77,Top,0
R91,24.13,22.23,Top,0
R92,12.7,21.59,Top,180
R93,24.13,20.8,Top,180
R94,12.7,20,Top,0
R95,37.47,14.29,Top,180
R96,34.61,13.34,Top,90
R99,45.09,12.7,Top,90
R100,46.67,12.7,Top,270
R101,18.26,12.07,Top,90
R102,19.69,12.07,Top,90
R103,42.86,11.75,Top,180
R104,34.61,10.16,Top,270
R105,23.18,9.05,Top,270
R106,31.43,6.67,Top,90
R107,48.26,5.24,Top,180
R108,51.59,4.6,Top,0
R109,6.67,4.13,Top,180
R110,54.13,3.81,Top,90
R111,10.79,3.49,Top,270
R112,12.38,3.49,Top,90
R113,30.48,3.18,Top,0
R114,47.63,3.02,Top,270
R115,51.59,3.02,Top,180
R116,49.21,3.02,Top,90
R117,7.62,2.54,Top,180
