Qty,Designator,Footprint,Comment,LCSC Part #,Description
2,"R61, R62",R0603,1.0k,C21190,RESISTOR American symbol
8,"R12, R15, R21, R24, R29, R32, R38, R39",R0603,100k,C25803,RESISTOR American symbol
19,"C3, C5, C8, C14, C15, C16, C17, C18, C23, C25, C26, C29, C30, C32, C34, C38, C39, C45, C46",C0603,100n,C14663,CAPACITOR American symbol
4,"R13, R14, R16, R17",R0603,10k,C25804,RESISTOR American symbol
2,"C28, C49",PANASONIC_A,10u,C134721,POLARIZED CAPACITOR American symbol
6,"C31, C33, C35, C36, C37, C41",PANASONIC_B,10u,C134721,POLARIZED CAPACITOR American symbol
1,"R36",R0603,180k,C22827,RESISTOR American symbol
6,"C6, C7, C40, C42, C47, C48",C0603,18p,C1647,CAPACITOR American symbol
2,"D1, D2",SOD123,1N5819HW,C117948,DIODE
6,"C9, C10, C11, C20, C21, C22",C0603,1n,C1588,CAPACITOR American symbol
2,"C12, C50",C0603,1u,C15849,CAPACITOR American symbol
2,"R40, R41",R0603,2.2k,C4190,RESISTOR American symbol
2,"C19, C24",C0805,2.2u,C49217,CAPACITOR American symbol
5,"R22, R23, R28, R33, R37",R0603,200k,C25811,RESISTOR American symbol
2,"C43, C44",C0603,220p,C1603,CAPACITOR American symbol
2,"R57, R58",R0603,22k,C31850,RESISTOR American symbol
2,"R46, R47",R0603,3.3k,C22978,RESISTOR American symbol
3,"R25, R26, R35",R0603,33k,C4216,RESISTOR American symbol
4,"R48, R49, R50, R59",R0603,39k,C23153,RESISTOR American symbol
1,"R11",R1206,4.7,C17937,RESISTOR American symbol
1,"R30",R0603,470,C23179,RESISTOR American symbol
1,"R34",R0603,47k,C25819,RESISTOR American symbol
5,"C1, C2, C4, C13, C27",PANASONIC_D,47u,C134775,POLARIZED CAPACITOR American symbol
6,"R51, R52, R53, R54, R55, R56",R0603,5.6k,C23189,RESISTOR American symbol
2,"R27, R31",R0603,66.5k,C23225,RESISTOR American symbol
10,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",R0603,68,C27592,RESISTOR American symbol
1,"IC1",SO16,74HC595D,C5947,8-bit SHIFT REGISTER, output latch
1,"IC7",SOT223,LM1117-3.3,C23984,800mA and 1A Low Dropout (LDO) Positive Regulator
1,"IC2",TO252,LM1117-3.3,C129952,800mA and 1A Low Dropout (LDO) Positive Regulator
1,"IC6",DBZ_R-PDSO-G3,LM4040B10,C201738,PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE
1,"IC3",SO08,MCP6002,C7377,OP AMP
1,"IC4",SO14,MCP6004,C7378,OP AMP
2,"Q1, Q2",SOT23-BEC,MMBT3904,C20526,NPN Transistror
1,"IC5",TQFP-10X10-64,STM32F405RGT6,C15742,
2,"IC9, IC10",SO08,TL072D,C6961,OP AMP
1,"IC8",SSOP28,WM8731,C323837,
2,"SW4, SW5",EVQ-Q2,,C318884,SMT 6mm switch, EVQQ2 series
