Designator,MidX,MidY,Layer,Rotation
C1,30.48,95.89,Top,270
C2,26.99,94.62,Top,90
C3,14.29,94.3,Top,0
C4,60.96,93.66,Top,90
C5,14.29,92.08,Top,0
C6,53.02,92.39,Top,270
C7,67.63,90.17,Top,270
C8,40.01,88.9,Top,270
C9,48.74,86.84,Top,90
C10,45.24,86.04,Top,180
C11,12.86,83.82,Top,90
C12,58.74,83.19,Top,270
C13,43.5,82.55,Top,90
C14,12.38,78.74,Top,180
C15,43.18,74.3,Top,270
C16,45.09,73.66,Top,270
C17,21.59,73.34,Top,180
C18,66.04,73.18,Top,180
C19,56.2,72.39,Top,270
C20,54.61,70.48,Top,270
C21,56.99,69.37,Top,180
C22,6.03,68.58,Top,180
C23,14.92,68.58,Top,0
C24,39.37,62.23,Top,270
C25,57.15,60.8,Top,0
C26,53.66,60.64,Top,180
C27,54.29,55.09,Top,90
C28,7.62,49.85,Top,180
C29,80.01,49.85,Top,180
C30,13.81,41.91,Top,180
C31,17.62,41.91,Top,0
C32,20,41.91,Top,180
C33,22.54,41.91,Top,0
C34,64.77,38.42,Top,0
C35,73.03,38.42,Top,180
C36,53.66,37.78,Top,270
C37,74.93,35.56,Top,180
C38,29.69,34.93,Top,180
C39,63.18,34.93,Top,180
C40,14.13,33.66,Top,180
C41,19.37,33.66,Top,180
C42,23.18,33.66,Top,0
C43,65.09,32.7,Top,0
C44,72.71,32.7,Top,180
C45,86.04,32.07,Top,90
C46,15.72,31.75,Top,270
C47,21.27,31.75,Top,270
C48,50.32,31.75,Top,90
C49,59.53,31.75,Top,270
C50,38.26,31.12,Top,270
C51,74.61,30.16,Top,180
C52,30.8,28.89,Top,0
C53,5.08,28.42,Top,180
C54,49.85,22.23,Top,90
C55,61.91,19.69,Top,90
C56,14.92,17.14,Top,90
C57,61.91,16.51,Top,90
C58,23.34,13.97,Top,180
D1,23.18,100.33,Top,90
D2,5.71,73.03,Top,0
D3,33.34,54.93,Top,90
D4,33.81,51.17,Top,90
D5,37.78,49.8,Top,270
IC2,51.13,79.08,Top,180
IC3,13.65,74.37,Top,180
IC4,57.47,65.09,Top,90
IC5,15.72,37.78,Top,0
IC6,21.27,37.78,Top,0
IC7,68.9,35.56,Top,270
IC8,31.12,32.7,Top,180
IC9,42.7,32.23,Top,270
IC10,54.77,31.12,Top,270
L1,10.79,93.24,Top,90
L2,16.09,86.84,Top,0
L3,15.56,78.8,Top,90
L4,9.53,71.5,Top,90
Q1,56.83,93.03,Top,0
Q2,35.88,53.18,Top,270
Q3,39.37,53.18,Top,270
R1,20.32,97.16,Top,90
R2,51.75,96.2,Top,270
R3,52.86,96.2,Top,270
R5,76.84,94.93,Top,0
R6,66.67,90.17,Top,270
R7,54.29,89.69,Top,0
R8,55.88,88.74,Top,0
R9,4.45,85.09,Top,180
R10,6.99,85.09,Top,0
R11,81.92,84.77,Top,180
R12,84.45,84.77,Top,0
R15,63.18,66.36,Top,270
R17,64.77,65.72,Top,0
R18,28.89,65.09,Top,180
R19,28.89,61.91,Top,180
R22,36.51,55.88,Top,0
R23,38.74,55.88,Top,180
R24,36.04,50.48,Top,180
R25,39.53,50.48,Top,180
R26,36.04,49.37,Top,180
R27,39.53,49.37,Top,180
R28,16.99,46.36,Top,90
R29,20.64,46.36,Top,90
R30,15.72,45.09,Top,90
R31,21.91,44.93,Top,90
R32,23.18,44.93,Top,90
R33,13.81,44.45,Top,180
R34,17.62,44.45,Top,0
R35,20,44.45,Top,180
R36,46.99,43.97,Top,270
R39,13.81,43.18,Top,0
R40,17.62,43.18,Top,180
R41,20,43.18,Top,0
R42,22.54,43.18,Top,180
R43,64.77,39.69,Top,180
R44,73.02,39.69,Top,0
R45,67.31,39.05,Top,180
R46,70.48,39.05,Top,0
R47,64.14,36.83,Top,180
R48,73.66,36.83,Top,0
R49,45.4,36.35,Top,180
R50,40.01,36.35,Top,0
R51,40.01,35.4,Top,180
R52,45.4,35.4,Top,0
R53,73.66,34.29,Top,0
R54,64.29,33.81,Top,180
R55,47.15,33.34,Top,90
R56,38.26,33.34,Top,90
R57,14.13,32.38,Top,0
R58,19.37,32.38,Top,0
R59,23.18,32.38,Top,180
R60,62.87,32.07,Top,90
R61,74.93,32.07,Top,90
R62,64.77,31.43,Top,0
R63,72.87,31.43,Top,180
R64,14.13,31.12,Top,180
R65,19.37,31.12,Top,180
R66,23.18,31.12,Top,0
R67,47.15,31.12,Top,270
R68,30.8,30.16,Top,180
R69,46.04,29.53,Top,0
R70,15.08,29.21,Top,270
R71,20,29.21,Top,270
R72,22.54,29.21,Top,270
R73,74.61,28.58,Top,0
R74,77.15,28.58,Top,0
R75,46.04,28.57,Top,180
R76,11.11,26.67,Top,180
R77,75.25,24.45,Top,270
R78,37.47,12.7,Top,180
R79,49.53,12.7,Top,180
R80,61.6,12.7,Top,180
R81,73.66,12.7,Top,180
R82,2.86,10.48,Top,90
R83,14.92,10.48,Top,90
R84,26.99,10.48,Top,90
R85,13.65,7.3,Top,90
R86,25.72,7.3,Top,90
R87,26.99,3.81,Top,90
