Qty,Designator,Footprint,Comment,LCSC Part #
3,"L1, L2, L3",603,,C73100
2,"R55, R56",R0603,1.0k,C21190
8,"R11, R14, R19, R21, R22, R34, R35, R52",R0603,100k,C25803
19,"C6, C9, C10, C11, C13, C15, C17, C19, C20, C25, C27, C31, C35, C37, C39, C44, C45, C47, C48",C0603,100n,C14663
3,"R6, R7, R8",R0603,10k,C25804
4,"C26, C28, C36, C38",C0603,10n,C57112
5,"R20, R23, R24, R36, R37",R0603,120k,C25808
4,"R1, R3, R4, R5",R0603,180,C22828
1,R15,R0603,180k,C22827
6,"C4, C5, C23, C24, C42, C43",C0603,18p,C1647
1,R53,R0603,1M,C22935
2,"D1, D2",SOD123,1N5819HW,C169540
3,"C7, C18, C30",C0603,1u,C15849
3,"R12, R16, R17",R0603,2.2k,C4190
2,"C14, C29",C0603,2.2n,C1604
2,"C16, C22",C0805,2.2u,C49217
5,"R18, R25, R26, R31, R32",R0603,20k,C4184
1,C49,C0603,220p,C1603
1,R50,R0603,3.3M,C26096
2,"R27, R54",R0603,36k,C23147
1,R2,R1206,4.7,C17675
1,IC4,TSSOP16,4051PW,C5645
1,R57,R0603,470k,C23178
7,"R13, R33, R38, R39, R41, R42, R44",R0603,47k,C25819
3,"R40, R43, R51",R0603,6.8k,C23212
1,D3,SOT23,BAT54S,C83935
1,IC1,TO252,LM1117-3.3,C129952
1,IC3,DBZ_R-PDSO-G3,LM4040B10,C201738
2,"IC5, IC8",SO08,MCP6002,C6961
1,IC7,SO14,MCP6004,C6963
1,Q2,SOT23-BEC,MMBT3904,C20526
1,IC2,TQFP-10X10-64,STM32F405RGT6,C15742
1,IC6,SSOP28,WM8731,C41511
